"Rank";"Name";"Platform";"Year";"Genre";"Publisher";"Global_Sales"
2096;"EyePet";"PS3";"2009";"Simulation";"Sony Computer Entertainment";0,99
2097;"Scooby-Doo! First Frights";"Wii";"2009";"Action";"Warner Bros. Interactive Entertainment";0,99
2098;"Midnight Club: LA Remix";"PSP";"2008";"Racing";"Take-Two Interactive";0,99
2100;"Guitar Hero: Aerosmith";"PS3";"2008";"Misc";"Activision";0,99
2101;"WWE SmackDown vs Raw 2008";"Wii";"2007";"Fighting";"THQ";0,99
2102;"FIFA Soccer 10";"Wii";"2009";"Sports";"Electronic Arts";0,99
2104;"Farming Simulator 2013";"PC";"2012";"Simulation";"Focus Home Interactive";0,99
2105;"Fallout 3";"PC";"2008";"Role-Playing";"Bethesda Softworks";0,99
2107;"Pro Evolution Soccer 2008";"PSP";"2008";"Sports";"Konami Digital Entertainment";0,98
2108;"Far Cry 3";"PC";"2012";"Shooter";"Ubisoft";0,98
2109;"Xenoblade Chronicles";"Wii";"2010";"Role-Playing";"Nintendo";0,98
2110;"Just Dance 2014";"X360";"2013";"Misc";"Ubisoft";0,98
2112;"Sonic & Sega All-Stars Racing";"PS3";"2010";"Racing";"Sega";0,98
2117;"Kingdom Hearts Re:coded";"DS";"2010";"Role-Playing";"Square Enix";0,98
2118;"South Park: The Stick of Truth";"PS3";"2014";"Role-Playing";"Ubisoft";0,98
2119;"Driver: San Francisco";"PS3";"2011";"Racing";"Ubisoft";0,98
2120;"Sniper Elite V2";"PS3";"2012";"Shooter";"505 Games";0,98
2121;"Far Cry 4";"X360";"2014";"Shooter";"Ubisoft";0,98
2123;"Tom Clancy's Splinter Cell: Blacklist";"PS3";"2013";"Action";"Ubisoft";0,98
2124;"Pro Evolution Soccer 2014";"PS3";"2013";"Action";"Konami Digital Entertainment";0,98
2125;"Madden NFL 16";"X360";"2015";"Sports";"Electronic Arts";0,98
2126;"Madden NFL 10";"PS2";"2009";"Sports";"Electronic Arts";0,98
2127;"Brutal Legend";"X360";"2009";"Action";"Electronic Arts";0,98
2129;"Final Fantasy Type-0";"PS4";"2015";"Role-Playing";"Square Enix";0,97
2130;"Madden NFL 08";"PS3";"2007";"Sports";"Electronic Arts";0,97
2131;"de Blob";"Wii";"2008";"Platform";"THQ";0,97
2133;"Mass Effect 3";"PC";"2012";"Role-Playing";"Electronic Arts";0,97
2134;"NBA 2K10";"X360";"2009";"Sports";"Take-Two Interactive";0,97
2137;"Skylanders: Spyro's Adventure";"X360";"2011";"Action";"Activision";0,97
2138;"Club Penguin: Game Day!";"Wii";"2010";"Sports";"Disney Interactive Studios";0,97
2140;"Grand Theft Auto: Vice City Stories";"PS2";"2007";"Action";"Take-Two Interactive";0,97
2141;"NBA 2K16";"X360";"2015";"Sports";"Take-Two Interactive";0,97
2143;"LEGO The Lord of the Rings";"Wii";"2012";"Action";"Warner Bros. Interactive Entertainment";0,97
2148;"Final Fantasy X / X-2 HD Remaster";"PSV";"2013";"Role-Playing";"Square Enix";0,97
2153;"PlayStation All-Stars Battle Royale";"PS3";"2012";"Action";"Sony Computer Entertainment";0,96
2155;"Monster High: Ghoul Spirit";"DS";"2011";"Misc";"THQ";0,96
2156;"Dragon Quest X";"Wii";"2012";"Role-Playing";"Square Enix";0,96
2157;"LEGO Pirates of the Caribbean: The Video Game";"DS";"2011";"Action";"Disney Interactive Studios";0,96
2161;"Sonic Unleashed";"X360";"2008";"Platform";"Sega";0,96
2162;"Lost Planet 2";"PS3";"2010";"Shooter";"Capcom";0,96
2164;"Dragon Quest Monsters: Terry's Wonderland 3D";"3DS";"2012";"Role-Playing";"Square Enix";0,96
2165;"My Weight Loss Coach";"DS";"2008";"Sports";"Ubisoft";0,96
2166;"Tom Clancy's Ghost Recon: Future Soldier";"PS3";"2012";"Shooter";"Ubisoft";0,96
2170;"The Witcher 2: Assassins of Kings";"PC";"2011";"Action";"Namco Bandai Games";0,96
2171;"PilotWings Resort";"3DS";"2011";"Simulation";"Nintendo";0,96
2172;"Naruto Shippuden: Ultimate Ninja Storm 3";"PS3";"2013";"Fighting";"Namco Bandai Games";0,96
2173;"LEGO Jurassic World";"X360";"2015";"Action";"Warner Bros. Interactive Entertainment";0,95
2179;"South Park: The Stick of Truth";"X360";"2014";"Role-Playing";"Ubisoft";0,95
2180;"Ben 10: Alien Force";"DS";"2008";"Action";"Koch Media";0,95
2181;"SingStar Abba";"PS3";"2008";"Misc";"Sony Computer Entertainment";0,95
2182;"Cars 2";"Wii";"2011";"Racing";"Disney Interactive Studios";0,95
2187;"Brutal Legend";"PS3";"2009";"Action";"Electronic Arts";0,95
2188;"Skylanders: Spyro's Adventure";"PS3";"2011";"Action";"Activision";0,95
2189;"Guitar Hero: Metallica";"Wii";"2009";"Misc";"Activision";0,95
2190;"Evolve";"PS4";"2015";"Shooter";"Take-Two Interactive";0,95
2191;"WWE SmackDown vs. Raw 2009";"PS3";"2008";"Fighting";"THQ";0,95
2192;"Army of Two: The 40th Day";"X360";"2010";"Shooter";"Electronic Arts";0,95
2193;"Tony Hawk: RIDE";"Wii";"2009";"Sports";"Activision";0,95
2194;"Lego Batman 3: Beyond Gotham";"X360";"2014";"Action";"Warner Bros. Interactive Entertainment";0,95
2195;"Wii Play: Motion";"Wii";"2011";"Misc";"Nintendo";0,95
2197;"The Tomb Raider Trilogy";"PS3";"2011";"Action";"Square Enix";0,94
2199;"Star Fox 64 3D";"3DS";"2011";"Shooter";"Nintendo";0,94
2201;"Rocksmith 2014";"X360";"2013";"Misc";"Ubisoft";0,94
2204;"Assassin's Creed III";"PC";"2012";"Action";"Ubisoft";0,94
2206;"Mario Tennis Open";"3DS";"2012";"Sports";"Nintendo";0,94
2207;"The Witcher 2: Assassins of Kings";"X360";"2012";"Action";"Namco Bandai Games";0,94
2208;"Bayonetta";"X360";"2009";"Action";"Sega";0,94
2212;"NCAA Football 10";"X360";"2009";"Sports";"Electronic Arts";0,94
2217;"Phantasy Star Portable";"PSP";"2008";"Role-Playing";"Sega";0,94
2221;"Operation Flashpoint: Dragon Rising";"X360";"2009";"Shooter";"Codemasters";0,93
2222;"Nickelodeon Fit";"Wii";"2010";"Sports";"Take-Two Interactive";0,93
2223;"Buzz! Quiz World";"PS3";"2009";"Misc";"Sony Computer Entertainment";0,93
2226;"Borderlands 2";"PC";"2012";"Shooter";"Take-Two Interactive";0,93
2227;"EA Sports Grand Slam Tennis";"Wii";"2009";"Sports";"Electronic Arts";0,93
2228;"White Knight Chronicles: International Edition";"PS3";"2008";"Role-Playing";"Sony Computer Entertainment";0,93
2229;"SSX";"PS3";"2012";"Sports";"Electronic Arts";0,93
2230;"Sonic Riders: Zero Gravity";"Wii";"2008";"Racing";"Sega";0,93
2231;"LEGO Jurassic World";"PS3";"2015";"Action";"Warner Bros. Interactive Entertainment";0,93
2232;"Build-A-Bear Workshop";"DS";"2007";"Simulation";"Game Factory";0,93
2239;"MLB 07: The Show";"PS2";"2007";"Sports";"Sony Computer Entertainment";0,93
2240;"Skylanders: Trap Team";"X360";"2014";"Action";"Activision";0,93
2242;"Brothers in Arms: Hell's Highway";"PS3";"2008";"Shooter";"Ubisoft";0,93
2243;"Inazuma Eleven 3";"DS";"2010";"Role-Playing";"Level 5";0,93
2250;"NCAA Football 11";"X360";"2010";"Sports";"Electronic Arts";0,92
2252;"FIFA Street";"X360";"2012";"Sports";"Electronic Arts";0,92
2253;"EA Sports Active 2";"PS3";"2010";"Sports";"Electronic Arts";0,92
2255;"WWE SmackDown vs. Raw 2009";"X360";"2008";"Fighting";"THQ";0,92
2256;"Dante's Inferno";"X360";"2010";"Action";"Electronic Arts";0,92
2257;"Wipeout: In The Zone";"X360";"2011";"Misc";"Activision";0,92
2259;"Kung Fu Panda";"Wii";"2008";"Action";"Activision";0,92
2262;"Assassin's Creed";"PC";"2008";"Adventure";"Ubisoft";0,92
2263;"Disney Magical World";"3DS";"2013";"Adventure";"Nintendo";0,92
2264;"Crysis 3";"X360";"2013";"Shooter";"Electronic Arts";0,92
2265;"Lego Batman 3: Beyond Gotham";"PS4";"2014";"Action";"Warner Bros. Interactive Entertainment";0,92
2266;"Dynasty Warriors 7";"PS3";"2011";"Action";"Tecmo Koei";0,92
2267;"The Evil Within";"PS3";"2014";"Action";"Bethesda Softworks";0,92
2268;"MLB 12: The Show";"PS3";"2012";"Sports";"Sony Computer Entertainment";0,92
2272;"Lost Odyssey";"X360";"2007";"Role-Playing";"Microsoft Game Studios";0,92
2273;"MLB 15: The Show";"PS4";"2015";"Sports";"Sony Computer Entertainment";0,92
2274;"Operation Flashpoint: Dragon Rising";"PS3";"2009";"Shooter";"Codemasters";0,92
2275;"Homefront";"PS3";"2011";"Shooter";"THQ";0,91
2276;"AMF Bowling Pinbusters!";"Wii";"2007";"Sports";"Bethesda Softworks";0,91
2278;"Avatar: The Game";"PS3";"2009";"Action";"Ubisoft";0,91
2279;"Harvest Moon 3D: A New Beginning";"3DS";"2012";"Action";"Marvelous Entertainment";0,91
2280;"Tom Clancy's EndWar";"X360";"2008";"Strategy";"Ubisoft";0,91
2283;"LEGO Indiana Jones 2: The Adventure Continues";"PS3";"2009";"Action";"Activision";0,91
2286;"MX vs. ATV Reflex";"PS3";"2009";"Racing";"THQ";0,91
2287;"Minecraft: Story Mode";"X360";"2015";"Adventure";"Mojang";0,91
2289;"Marvel: Ultimate Alliance 2";"X360";"2009";"Role-Playing";"Activision";0,91
2290;"Call of Duty: World at War";"DS";"2008";"Shooter";"Activision";0,91
2293;"DJ Hero";"PS3";"2009";"Misc";"Activision";0,91
2294;"Dragon Age: Inquisition";"XOne";"2014";"Role-Playing";"Electronic Arts";0,91
2295;"The Simpsons Game";"PS3";"2007";"Action";"Electronic Arts";0,91
2300;"SOCOM 4: U.S. Navy SEALs";"PS3";"2011";"Shooter";"Sony Computer Entertainment";0,9
2302;"Buzz! Quiz TV";"PS3";"2008";"Misc";"Sony Computer Entertainment";0,9
2303;"We Ski & Snowboard";"Wii";"2008";"Sports";"Atari";0,9
2305;"TouchMaster 2";"DS";"2008";"Puzzle";"Midway Games";0,9
2306;"Crysis 3";"PS3";"2013";"Shooter";"Electronic Arts";0,9
2310;"Resistance: Retribution";"PSP";"2009";"Shooter";"Sony Computer Entertainment";0,9
2311;"Tiger Woods PGA Tour 12: The Masters";"PS3";"2011";"Sports";"Electronic Arts";0,9
2312;"Star Wars: The Force Unleashed";"DS";"2008";"Action";"LucasArts";0,9
2314;"Spider-Man 3";"PS2";"2007";"Platform";"Activision";0,9
2316;"Samba De Amigo";"Wii";"2008";"Misc";"Sega";0,9
2317;"The Elder Scrolls Online";"PC";"2014";"Role-Playing";"Bethesda Softworks";0,9
2318;"Pure";"PS3";"2008";"Racing";"Disney Interactive Studios";0,9
2319;"FIFA Soccer 09 All-Play";"Wii";"2008";"Sports";"Electronic Arts";0,9
2320;"Fossil Fighters";"DS";"2008";"Role-Playing";"Nintendo";0,9
2321;"LittleBigPlanet Karting";"PS3";"2012";"Action";"Sony Computer Entertainment";0,9
2325;"The Biggest Loser: Ultimate Workout";"X360";"2010";"Sports";"THQ";0,9
2327;"Call of Juarez: Bound in Blood";"PS3";"2009";"Shooter";"Ubisoft";0,89
2329;"Madden NFL 08";"Wii";"2007";"Sports";"Electronic Arts";0,89
2331;"LEGO Jurassic World";"PS4";"2015";"Action";"Warner Bros. Interactive Entertainment";0,89
2333;"Sonic Chronicles: The Dark Brotherhood";"DS";"2008";"Role-Playing";"Sega";0,89
2336;"The Jak and Daxter Collection";"PS3";"2012";"Platform";"Sony Computer Entertainment";0,89
2340;"CSI: Hard Evidence";"Wii";"2008";"Adventure";"Ubisoft";0,89
2342;"F1 2009";"Wii";"2009";"Racing";"Codemasters";0,89
2344;"EA Sports UFC 2";"PS4";"2016";"Sports";"Electronic Arts";0,89
2345;"Dissidia 012: Duodecim Final Fantasy";"PSP";"2011";"Fighting";"Square Enix";0,89
2346;"LEGO Marvel Super Heroes";"3DS";"2013";"Action";"Warner Bros. Interactive Entertainment";0,89
2347;"F1 2010";"X360";"2010";"Racing";"Codemasters";0,89
2349;"Call of Duty: Modern Warfare 2";"PC";"2009";"Shooter";"Activision";0,89
2351;"Kingdoms of Amalur: Reckoning";"X360";"2012";"Role-Playing";"Electronic Arts";0,89
2352;"Call of Duty: Modern Warfare 3";"Wii";"2011";"Shooter";"Activision";0,89
2357;"WWE SmackDown vs. Raw 2011";"X360";"2010";"Fighting";"THQ";0,88
2358;"Sleeping Dogs";"X360";"2012";"Action";"Square Enix";0,88
2359;"Grand Theft Auto IV";"PC";"2008";"Action";"Take-Two Interactive";0,88
2360;"Peppa Pig: The Game";"DS";"2008";"Misc";"Pinnacle";0,88
2361;"Michael Jackson: The Experience";"X360";"2011";"Misc";"Ubisoft";0,88
2362;"Ghostbusters: The Video Game";"Wii";"2009";"Action";"Atari";0,88
2363;"Rock Band 3";"X360";"2010";"Misc";"MTV Games";0,88
2364;"Resident Evil: Revelations";"3DS";"2012";"Action";"Capcom";0,88
2366;"Buzz! The Mega Quiz";"PS2";"2007";"Misc";"Sony Computer Entertainment";0,88
2367;"Endless Ocean: Blue World";"Wii";"2009";"Simulation";"Nintendo";0,88
2369;"Just Cause 3";"XOne";"2015";"Action";"Square Enix";0,88
2371;"Cooking Mama: World Kitchen";"Wii";"2008";"Simulation";"505 Games";0,88
2372;"Tekken Tag Tournament 2";"PS3";"2012";"Fighting";"Namco Bandai Games";0,88
2374;"GRID";"X360";"2008";"Racing";"Codemasters";0,88
2375;"Phantasy Star Portable 2";"PSP";"2009";"Role-Playing";"Sega";0,88
2379;"NBA 2K14";"XOne";"2013";"Sports";"Take-Two Interactive";0,87
2380;"DiRT";"X360";"2007";"Racing";"Codemasters";0,87
2382;"Gold's Gym: Dance Workout";"Wii";"2010";"Sports";"Ubisoft";0,87
2383;"Red Faction: Guerrilla";"X360";"2009";"Shooter";"THQ";0,87
2385;"Mercenaries 2: World in Flames";"PS3";"2008";"Shooter";"Electronic Arts";0,87
2387;"Kingdom Hearts Re: Chain of Memories";"PS2";"2008";"Role-Playing";"Square Enix";0,87
2388;"Pictionary";"Wii";"2010";"Puzzle";"THQ";0,87
2389;"NCAA Football 13";"PS3";"2012";"Action";"Electronic Arts";0,87
2390;"Kingdoms of Amalur: Reckoning";"PS3";"2012";"Role-Playing";"Electronic Arts";0,87
2392;"Beijing 2008";"PS3";"2008";"Sports";"Sega";0,87
2393;"The House of the Dead: Overkill";"Wii";"2009";"Shooter";"Sega";0,87
2395;"Injustice: Gods Among Us";"PS4";"2013";"Fighting";"Warner Bros. Interactive Entertainment";0,87
2397;"Buzz! Master Quiz";"PSP";"2008";"Misc";"Sony Computer Entertainment";0,87
2398;"Brothers in Arms: Hell's Highway";"X360";"2008";"Shooter";"Ubisoft";0,87
2400;"Wizards of Waverly Place";"DS";"2009";"Misc";"Disney Interactive Studios";0,87
2401;"Scooby-Doo! First Frights";"DS";"2009";"Action";"Warner Bros. Interactive Entertainment";0,87
2406;"Warriors Orochi";"PS2";"2007";"Action";"Tecmo Koei";0,87
2407;"Guitar Hero: Warriors of Rock";"X360";"2010";"Misc";"Activision";0,87
2409;"Tales of Xillia 2";"PS3";"2012";"Role-Playing";"Namco Bandai Games";0,87
2410;"SingStar '90s";"PS2";"2007";"Misc";"Sony Computer Entertainment";0,87
2411;"Monster Strike 3DS";"3DS";"2015";"Action";"mixi, Inc";0,86
2412;"Tomb Raider: Anniversary";"Wii";"2007";"Action";"Eidos Interactive";0,86
2414;"Darksiders II";"PS3";"2012";"Action";"THQ";0,86
2415;"Ghostbusters: The Video Game";"PS3";"2009";"Action";"Sony Computer Entertainment";0,86
2416;"The World Ends With You";"DS";"2007";"Role-Playing";"Square Enix";0,86
2419;"Dragon Quest VIII: Journey of the Cursed King";"3DS";"2015";"Role-Playing";"Square Enix";0,86
2423;"Dragon Ball Z: Burst Limit";"PS3";"2008";"Fighting";"Atari";0,86
2425;"The Legendary Starfy";"DS";"2008";"Platform";"Nintendo";0,86
2426;"2010 FIFA World Cup South Africa";"X360";"2010";"Sports";"Electronic Arts";0,86
2428;"Ninja Gaiden Sigma 2";"PS3";"2009";"Action";"Ubisoft Annecy";0,86
2429;"Forza Horizon 2";"X360";"2014";"Racing";"Microsoft Game Studios";0,85
2430;"Skate 2";"PS3";"2009";"Sports";"Electronic Arts";0,85
2431;"FIFA Soccer 08";"DS";"2007";"Sports";"Electronic Arts";0,85
2433;"Need for Speed: Nitro";"Wii";"2009";"Racing";"Electronic Arts";0,85
2434;"Madden NFL 09 All-Play";"Wii";"2008";"Sports";"Electronic Arts";0,85
2435;"NBA 2K8";"X360";"2007";"Sports";"Take-Two Interactive";0,85
2436;"Far Cry: Primal";"XOne";"2016";"Action";"Ubisoft";0,85
2439;"Army of Two: The 40th Day";"PS3";"2010";"Shooter";"Electronic Arts";0,85
2440;"Blazing Angels: Squadrons of WWII";"Wii";"2007";"Simulation";"Ubisoft";0,85
2442;"Harry Potter and the Order of the Phoenix";"DS";"2007";"Action";"Electronic Arts";0,85
2445;"WWE 2K15";"PS3";"2014";"Sports";"Take-Two Interactive";0,85
2446;"Overwatch";"XOne";"2016";"Shooter";"Activision";0,85
2447;"Ratatouille";"PS2";"2007";"Action";"THQ";0,85
2450;"Kirby: Planet Robobot";"3DS";"2016";"Action";"Nintendo";0,85
2452;"Karaoke Revolution Glee";"Wii";"2010";"Misc";"Konami Digital Entertainment";0,85
2453;"Sniper Elite V2";"X360";"2012";"Shooter";"505 Games";0,85
2454;"Thief (2014)";"PS4";"2014";"Action";"Square Enix";0,84
2456;"Golden Sun: Dark Dawn";"DS";"2010";"Role-Playing";"Nintendo";0,84
2457;"Tiger Woods PGA Tour 11";"PS3";"2010";"Sports";"Electronic Arts";0,84
2458;"Devil May Cry HD Collection";"PS3";"2012";"Action";"Capcom";0,84
2459;"MLB 16: The Show";"PS4";"2016";"Action";"Sony Computer Entertainment";0,84
2460;"NBA 2K10";"PS3";"2009";"Sports";"Take-Two Interactive";0,84
2462;"Petz Dogz Fashion";"DS";"2008";"Simulation";"Ubisoft";0,84
2464;"NCAA Football 11";"PS3";"2010";"Sports";"Electronic Arts";0,84
2465;"Dragon Age II";"PS3";"2011";"Action";"Electronic Arts";0,84
2467;"Harvest Moon: Tree of Tranquility";"Wii";"2007";"Simulation";"Rising Star Games";0,84
2469;"Street Fighter X Tekken";"PS3";"2012";"Fighting";"Capcom";0,84
2471;"Duke Nukem Forever";"X360";"2011";"Shooter";"Take-Two Interactive";0,84
2473;"Borderlands: The Handsome Collection";"PS4";"2015";"Shooter";"Take-Two Interactive";0,84
2477;"FIFA 15";"PSV";"2014";"Sports";"Electronic Arts";0,84
2478;"Time Crisis 4";"PS3";"2007";"Shooter";"Namco Bandai Games";0,84
2479;"Ben 10: Protector of Earth";"PS2";"2007";"Action";"D3Publisher";0,84
2480;"Need for Speed Rivals";"X360";"2013";"Racing";"Electronic Arts";0,84
2482;"WWE SmackDown vs. Raw 2009";"Wii";"2008";"Fighting";"THQ";0,83
2485;"Battle of Giants: Dinosaurs";"DS";"2008";"Strategy";"Ubisoft";0,83
2488;"Borderlands 2";"PSV";"2014";"Shooter";"Take-Two Interactive";0,83
2491;"Dance Central 3";"X360";"2012";"Misc";"Microsoft Game Studios";0,83
2495;"NCAA Football 12";"PS3";"2011";"Sports";"Electronic Arts";0,83
2497;"The Price is Right";"Wii";"2008";"Misc";"Ubisoft";0,83
2498;"Sid Meier's Civilization Revolution";"X360";"2008";"Strategy";"Take-Two Interactive";0,83
2500;"I Spy: Fun House";"DS";"2007";"Puzzle";"Scholastic Inc.";0,83
2501;"The Amazing Spider-Man (Console Version)";"PS3";"2012";"Action";"Activision";0,83
2502;"Dragon Ball: Raging Blast 2";"PS3";"2010";"Fighting";"Namco Bandai Games";0,83
2505;"Deca Sports 2";"Wii";"2009";"Sports";"Hudson Soft";0,82
2507;"Madden NFL 17";"XOne";"2016";"Sports";"Electronic Arts";0,82
2511;"Star Wars The Clone Wars: Republic Heroes";"Wii";"2009";"Action";"LucasArts";0,82
2512;"DJ Hero 2";"X360";"2010";"Misc";"Activision";0,82
2513;"Street Fighter V";"PS4";"2016";"Fighting";"Capcom";0,82
2520;"DmC: Devil May Cry";"PS3";"2013";"Action";"Capcom";0,82
2521;"Tales of the Abyss";"3DS";"2011";"Role-Playing";"Namco Bandai Games";0,82
2523;"Guitar Hero: Warriors of Rock";"PS3";"2010";"Misc";"Activision";0,82
2524;"Hasbro Family Game Night 3";"Wii";"2010";"Misc";"Electronic Arts";0,82
2525;"Madden NFL 16";"PS3";"2015";"Sports";"Electronic Arts";0,82
2526;"Stranglehold";"X360";"2007";"Shooter";"Midway Games";0,82
2527;"Imagine: Rock Star";"DS";"2008";"Simulation";"Ubisoft";0,82
2528;"Shin Megami Tensei: Persona 4";"PS2";"2008";"Role-Playing";"Atlus";0,82
2529;"SingStar Vol. 2";"PS3";"2008";"Misc";"Sony Computer Entertainment";0,82
2531;"Madden NFL 25";"PS4";"2013";"Sports";"Electronic Arts";0,82
2532;"Twisted Metal (2012)";"PS3";"2012";"Action";"Sony Computer Entertainment";0,82
2537;"Patapon";"PSP";"2007";"Misc";"Sony Computer Entertainment";0,81
2541;"EA Sports Active NFL Training Camp";"Wii";"2010";"Sports";"Electronic Arts";0,81
2544;"Guitar Hero Live";"PS4";"2015";"Misc";"Activision";0,81
2546;"Final Fantasy Type-0";"PSP";"2011";"Role-Playing";"Unknown";0,81
2547;"Pro Evolution Soccer 2010";"X360";"2009";"Sports";"Konami Digital Entertainment";0,81
2551;"Lego Batman 3: Beyond Gotham";"PS3";"2014";"Action";"Warner Bros. Interactive Entertainment";0,81
2553;"DiRT 2";"X360";"2009";"Racing";"Codemasters";0,81
2554;"Professor Layton vs Phoenix Wright: Ace Attorney";"3DS";"2012";"Puzzle";"Level 5";0,81
2556;"Dying Light";"XOne";"2015";"Action";"Warner Bros. Interactive Entertainment";0,81
2557;"NCAA Football 10";"PS3";"2009";"Sports";"Electronic Arts";0,81
2558;"Ben 10: Alien Force";"Wii";"2008";"Action";"Koch Media";0,81
2560;"Final Fantasy XI: Wings of the Goddess";"PS2";"2007";"Role-Playing";"Square Enix";0,81
2562;"Guitar Hero: Metallica";"X360";"2009";"Misc";"Activision";0,81
2563;"NCAA Football 14";"PS3";"2013";"Sports";"Electronic Arts";0,8
2564;"MadWorld";"Wii";"2009";"Action";"Sega";0,8
2565;"Fight Night Champion";"X360";"2011";"Fighting";"Electronic Arts";0,8
2569;"ABBA: You Can Dance";"Wii";"2011";"Misc";"Ubisoft";0,8
2574;"Aliens: Colonial Marines";"X360";"2013";"Shooter";"Sega";0,8
2575;"Pro Evolution Soccer 2010";"PSP";"2009";"Sports";"Konami Digital Entertainment";0,8
2576;"[Prototype 2]";"X360";"2012";"Action";"Activision";0,8
2577;"Sonic & SEGA All-Stars Racing with Banjo-Kazooie";"X360";"2010";"Racing";"Sega";0,8
2578;"Goldeneye 007: Reloaded";"PS3";"2011";"Shooter";"Activision";0,8
2579;"NBA 2K16";"PS3";"2015";"Sports";"Take-Two Interactive";0,8
2580;"All Star Cheer Squad";"Wii";"2008";"Sports";"THQ";0,8
2581;"The Sims 2: Castaway";"PSP";"2007";"Simulation";"Electronic Arts";0,8
2583;"Dragon's Dogma";"X360";"2012";"Role-Playing";"Capcom";0,8
2584;"Darksiders II";"X360";"2012";"Action";"THQ";0,8
2585;"Resident Evil: Revelations";"PS3";"2013";"Action";"Capcom";0,8
2586;"Rayman Raving Rabbids 2";"DS";"2007";"Misc";"Ubisoft";0,8
2590;"Star Wars: The Force Unleashed II";"Wii";"2010";"Action";"LucasArts";0,8
2591;"Band Hero";"X360";"2009";"Misc";"Activision";0,8
2595;"Sniper: Ghost Warrior";"PS3";"2011";"Shooter";"City Interactive";0,8
2596;"The Godfather II";"X360";"2009";"Action";"Electronic Arts";0,79
2597;"pro evolution soccer 2011";"PSP";"2010";"Sports";"Konami Digital Entertainment";0,79
2600;"The Walking Dead: Season One";"PS3";"2012";"Adventure";"Avanquest Software";0,79
2601;"Rayman Origins";"X360";"2011";"Platform";"Ubisoft";0,79
2602;"Guitar Hero: Aerosmith";"PS2";"2008";"Misc";"Activision";0,79
2604;"Final Fantasy Tactics A2: Grimoire of the Rift";"DS";"2007";"Role-Playing";"Square Enix";0,79
2607;"Invizimals";"PSP";"2009";"Strategy";"Sony Computer Entertainment";0,79
2609;"Tiger Woods PGA Tour 10";"PS3";"2009";"Sports";"Electronic Arts";0,79
2610;"Star Wars The Clone Wars: Jedi Alliance";"DS";"2008";"Action";"LucasArts";0,79
2613;"Star Ocean: The Last Hope";"X360";"2009";"Role-Playing";"Square Enix";0,79
2614;"Dance Dance Revolution SuperNOVA 2";"PS2";"2007";"Simulation";"Konami Digital Entertainment";0,79
2616;"Dragon Quest Monsters 2";"3DS";"2014";"Role-Playing";"Square Enix";0,79
2617;"Ghost Squad";"Wii";"2007";"Shooter";"Sega";0,79
2618;"Dead Island: Riptide";"X360";"2013";"Action";"Deep Silver";0,79
2619;"Drawn to Life";"DS";"2007";"Action";"THQ";0,79
2621;"FIFA 12";"Wii";"2011";"Sports";"Electronic Arts";0,79
2622;"Too Human";"X360";"2008";"Role-Playing";"Microsoft Game Studios";0,79
2623;"Sid Meier's Civilization Revolution";"PS3";"2008";"Strategy";"Take-Two Interactive";0,79
2624;"NCAA Football 08";"PS2";"2007";"Sports";"Electronic Arts";0,79
2626;"Personal Trainer: Walking";"DS";"2008";"Sports";"Nintendo";0,79
2627;"Naruto Shippuden: Ultimate Ninja Storm 2";"X360";"2010";"Fighting";"Namco Bandai Games";0,79
2628;"PokePark 2: Wonders Beyond";"Wii";"2011";"Action";"Nintendo";0,79
2629;"Professor Layton and the Azran Legacy";"3DS";"2013";"Puzzle";"Nintendo";0,78
2632;"Lips";"X360";"2008";"Misc";"Microsoft Game Studios";0,78
2637;"Buzz! The Hollywood Quiz";"PS2";"2007";"Misc";"Sony Computer Entertainment";0,78
2638;"Puzzler World";"DS";"2009";"Puzzle";"Ubisoft";0,78
2639;"My Little Pony: Pinkie Pie's Party";"DS";"2008";"Adventure";"THQ";0,78
2640;"We Sing";"Wii";"2009";"Misc";"Nordic Games";0,78
2642;"God of War Saga";"PS3";"2012";"Action";"Sony Computer Entertainment";0,78
2644;"Tetris Party Deluxe";"DS";"2010";"Puzzle";"Nintendo";0,78
2645;"Pro Evolution Soccer 2016";"PS4";"2015";"Sports";"Konami Digital Entertainment";0,78
2647;"Star Wars Battlefront: Elite Squadron";"PSP";"2009";"Shooter";"LucasArts";0,78
2648;"UFC Personal Trainer: The Ultimate Fitness System";"X360";"2011";"Sports";"THQ";0,78
2649;"Resident Evil: Operation Raccoon City";"X360";"2012";"Action";"Capcom";0,78
2651;"Need for Speed: ProStreet";"PSP";"2008";"Racing";"Electronic Arts";0,78
2652;"Toy Story 3: The Video Game";"X360";"2010";"Action";"Disney Interactive Studios";0,78
2656;"Banjo-Kazooie: Nuts & Bolts";"X360";"2008";"Platform";"Microsoft Game Studios";0,78
2658;"Avatar: The Game";"X360";"2009";"Action";"Ubisoft";0,78
2659;"Harry Potter and the Half-Blood Prince";"Wii";"2009";"Action";"Electronic Arts";0,77
2660;"DJ Hero";"Wii";"2009";"Misc";"Activision";0,77
2665;"Madden NFL 25";"XOne";"2013";"Sports";"Electronic Arts";0,77
2667;"Need For Speed: Undercover";"PSP";"2008";"Racing";"Electronic Arts";0,77
2668;"Duke Nukem Forever";"PS3";"2011";"Shooter";"Take-Two Interactive";0,77
2669;"Freedom Wars";"PSV";"2014";"Role-Playing";"Sony Computer Entertainment";0,77
